,,,,,,,,,,,
AB 0103,MWF 0900-0950,MWF 1000-1050,MWF 1310-1400,,,,,,,,
AB 0104,MWF 0800-0850,MWF 1310-1400,,,,,,,,,
AB 0106,F 1310-1700,,,,,,,,,,
AB 0202,,,,,,,,,,,
AB 0204,,,,,,,,,,,
AC 0100,,,,,,,,,,,
AC 0219,,,,,,,,,,,
AC 0221,,,,,,,,,,,
AC 0404,,,,,,,,,,,
AG 1030,,,,,,,,,,,
AG 1032,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MWF 1410-1500,MWF 1610-1700,,,,,
AG 0137,,,,,,,,,,,
AG 0142,,,,,,,,,,,
AG 2018,MWF 1200-1250,,,,,,,,,,
AG 2024,,,,,,,,,,,
AG 0022,,,,,,,,,,,
AG 0223,MWF 1000-1050,F 1200-1250,F 1310-1400,F 1410-1500,,,,,,,
AG 0229,MWF 0800-0850,,,,,,,,,,
AG 0237,MWF 0800-0850,,,,,,,,,,
AG 0240,,,,,,,,,,,
AG 3026,,,,,,,,,,,
AG 3027,,,,,,,,,,,
AG 3028,MWF 0900-0950,MWF 1100-1150,,,,,,,,,
AG 3030,,,,,,,,,,,
AG 0328,,,,,,,,,,,
AG 4004,,,,,,,,,,,
AG 4021,,,,,,,,,,,
AG 4022,,,,,,,,,,,
AG 4040,MWF 0800-0850,,,,,,,,,,
AG 4041,MWF 0900-0950,MTWF 1000-1050,MTWF 1100-1150,MWF 1200-1250,MWF 1410-1500,,,,,,
AG 0041,,,,,,,,,,,
AG 5025,MWF 1100-1150,,,,,,,,,,
AG 5027,,,,,,,,,,,
AG 5030,MWF 1000-1050,MWF 1200-1250,,,,,,,,,
AN 0140,MWF 1000-1050,F 1300-1450,,,,,,,,,
AN 0150,MWF 1000-1050,MWF 1100-1150,MWF 1410-1500,,,,,,,,
AN 0220,,,,,,,,,,,
AN 0335,,,,,,,,,,,
AS 0118,,,,,,,,,,,
AS 0203,,,,,,,,,,,
AS 0209,MWF 0900-0950,MWF 1130-1220,,,,,,,,,
AS 0210,,,,,,,,,,,
AS 0226,F 0900-1150,,,,,,,,,,
AS 0228,,,,,,,,,,,
AS 0314,,,,,,,,,,,
AS 0401,F 0900-0950,F 1000-1050,MWF 1310-1400,,,,,,,,
AV 0212,,,,,,,,,,,
BC 0138,MWF 0900-0950,MWF 1000-1050,F 1410-1600,,,,,,,,
BC 0217,,,,,,,,,,,
BC 0227,,,,,,,,,,,
BC 0327,,,,,,,,,,,
BS 0221,,,,,,,,,,,
BS 0302,,,,,,,,,,,
BS 0309,MWF 1100-1150,,,,,,,,,,
BS 0310,,,,,,,,,,,
BU 0010,MWF 0800-0850,F 0900-0950,MWF 1000-1050,WF 1510-1600,,,,,,,
BU 0108,F 0900-0950,MWF 1310-1400,,,,,,,,,
BU 0109,,,,,,,,,,,
BU 0110,MWF 0900-0950,MWF 1310-1400,,,,,,,,,
BU 0111,MWF 0900-0950,MWF 1000-1050,,,,,,,,,
BU 0121,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,F 1100-1240,MWF 1310-1400,MWF 1410-1500,,,,,
BU 0123,,,,,,,,,,,
