,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 0103,MWF 0900-0950,MWF 1000-1050,MWF 1310-1400,MW 1610-1730,TR 0800-0915,TR 1100-1215,TR 1320-1435,TR 1510-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 0104,MWF 0800-0850,MWF 1310-1400,TR 0810-0925,TR 1100-1215,MWF 0800-0850,W 1150-1300,MWF 1310-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 0106,TR 0935-1050,F 1310-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC 0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC 0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC 0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC 0404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 1032,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MWF 1410-1500,MWF 1610-1700,TR 0935-1050,TR 1320-1435,TR 1515-1630,TR 0935-1050,R 1220-1310,TR 1320-1435,TR 1515-1630,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 2018,MWF 1200-1250,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0223,MWF 1000-1050,MW 1100-1215,MW 1310-1425,MW 1600-1715,T 0935-1050,TR 1320-1435,TR 1445-1600,MWF 1000-1050,F 1200-1250,F 1310-1400,F 1410-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0229,MWF 0800-0850,MWF 1310-1400,TR 0810-0925,TR 0935-1050,T 1500-1630,MWF 0800-0850,W 1000-1150,MWF 1310-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0237,MWF 0800-0850,TR 1320-1435,MWF 0800-0850,W 1210-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 3026,MW 0900-0950,MW 1100-1250,M 1410-1700,T 1200-1350,MW 0900-0950,MW 1100-1250,W 1410-1500,W 1510-1700,R 0810-0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 3027,MW 1410-1500,TR 1100-1300,MW 1410-1500,W 1510-1700,TR 1100-1300,R 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 3028,MWF 0900-0950,MWF 1100-1150,TR 0935-1050,TR 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 3030,MW 1000-1250,MW 1410-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 0328,MW 1000-1200,M 1210-1300,MW 1410-1500,TR 1100-1215,T 1510-1700,MW 1000-1200,W 1210-1400,MW 1410-1500,W 1510-1700,R 0935-1050,TR 1100-1215,R 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 4004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 4021,MW 1410-1700,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1710-1825,TR 0935-1050,TR 1100-1215,TR 1320-1435,R 1445-1645,TR 1710-1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 4022,TR 1320-1435,TR 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 4040,MWF 0800-0850,TR 1320-1435,MWF 0800-0850,W 1310-1500,W 1510-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 4041,MWF 0900-0950,MTWF 1000-1050,MTWF 1100-1150,MWF 1200-1250,MW 1310-1400,MWF 1410-1500,MTWF 1000-1050,MTWF 1100-1150,TR 1320-1435,T 1445-1600,MWF 0900-0950,MTWF 1000-1050,MTWF 1100-1150,MWF 1200-1250,MW 1310-1400,MWF 1410-1500,W 1810-1900,,,,,,,,,,,,,,,,,,,,,,
AG 0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 5025,MWF 1100-1150,M 1310-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 5027,W 1310-1700,R 1310-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG 5030,MWF 1000-1050,MWF 1200-1250,TR 0800-0950,TR 1000-1150,TR 1310-1500,TR 1510-1700,TR 1100-1215,TR 0800-0950,TR 1000-1150,TR 1310-1500,TR 1510-1700,TR 1100-1215,R 1610-1700,,,,,,,,,,,,,,,,,,,,,,,,,,
AN 0140,MWF 1000-1050,M 1100-1250,TR 0935-1050,T 1600-1750,MWF 1000-1050,W 1510-1740,MWF 1000-1050,F 1300-1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN 0150,MWF 1000-1050,MWF 1100-1150,MWF 1410-1500,TR 0935-1050,TR 1100-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN 0220,M 1310-1500,TR 0810-0925,TR 0935-1050,TR 1100-1215,W 1225-1455,W 1510-1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN 0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0209,MWF 0900-0950,MWF 1130-1220,TR 0935-1050,TR 1100-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0226,MTWR 0830-0940,MTWR 1000-1150,MTWR 1230-1340,M 1510-1800,MTWR 0830-0940,MTWR 1000-1150,MTWR 1230-1340,W 1510-1800,F 0900-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0228,TR 0935-1050,T 1410-1600,W 1410-1600,TR 0935-1050,R 1510-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0314,MTWR 1310-1400,TR 0810-0925,MTWR 1310-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS 0401,MWF 1310-1400,TR 0810-0925,TR 0935-1050,F 0900-0950,F 1000-1050,MWF 1310-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV 0212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC 0138,MWF 0900-0950,MWF 1000-1050,M 1100-1300,MW 1310-1400,TR 0935-1050,TR 1445-1600,TR 0935-1050,R 1215-1435,TR 1445-1600,MWF 0900-0950,MWF 1000-1050,F 1410-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC 0217,M 1410-1700,W 1410-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC 0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC 0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS 0221,M 1310-1700,T 1420-1710,W 1200-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS 0302,MW 0935-1125,TR 0935-1125,TR 1320-1435,MW 0935-1125,W 1410-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS 0309,MWF 1100-1150,M 1410-1800,TR 0935-1050,TR 1100-1215,TR 1320-1410,MWF 1100-1150,W 1410-1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS 0310,M 1100-1150,M 1310-1600,T 1410-1700,W 1410-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0010,MWF 0800-0850,MWF 1000-1050,MW 1100-1150,MW 1410-1500,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,MWF 0800-0850,MWF 1000-1050,MW 1100-1150,MW 1410-1500,WF 1510-1600,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,R 1610-1900,MWF 0800-0850,F 0900-0950,MWF 1000-1050,WF 1510-1600,,,,,,,,,,,,,,,
BU 0108,MTWR 0900-0950,MTWR 1000-1050,MW 1100-1250,MWF 1310-1400,MW 1510-1600,M 1810-2000,MTWR 0900-0950,MTWR 1000-1050,TR 1100-1215,TR 1320-1435,TR 1445-1535,T 1810-2000,MTWR 0900-0950,MTWR 1000-1050,MW 1100-1250,MWF 1310-1400,W 1410-1500,MW 1510-1600,F 0900-0950,MWF 1310-1400,,,,,,,,,,,,,,,,,,,
BU 0109,MW 1100-1215,MW 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0110,MWF 0900-0950,M 1000-1050,MW 1100-1215,MWF 1310-1400,M 1410-1500,MW 1540-1655,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1900-2015,MWF 0900-0950,MW 1100-1215,MWF 1310-1400,MW 1540-1655,W 1900-2150,,,,,,,,,,,,,,,,,,,,,,,
BU 0111,MWF 0900-0950,MWF 1000-1050,MW 1100-1215,M 1310-1410,MW 1510-1600,T 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1535,TR 1610-1725,T 1810-2040,MWF 0900-0950,MWF 1000-1050,MW 1100-1215,W 1310-1410,MW 1510-1600,,,,,,,,,,,,,,,,,,,,,,
BU 0121,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MW 1100-1215,MWF 1310-1400,MWF 1410-1500,MW 1510-1625,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MW 1100-1215,MWF 1310-1400,MWF 1410-1500,MW 1510-1625,W 1800-2050,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,R 1610-1900,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,F 1100-1240,MWF 1310-1400,MWF 1410-1500,,,,,,,
BU 0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0127,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MW 1310-1500,MW 1510-1625,TR 0935-1050,TR 1100-1240,TR 1320-1435,TR 1445-1600,TR 1630-1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0129,MWF 1000-1050,MW 1100-1215,MWF 1410-1500,MW 1510-1625,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0208,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,M 1510-1600,M 1610-1700,M 1710-1900,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,W 1510-1740,,,,,,,,,,,,,,,,,,,,,,
BU 0209,MWF 0900-0950,MWF 1000-1050,MW 1100-1215,MWF 1310-1400,MWF 1410-1500,MW 1510-1600,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0021,MWF 1000-1050,MWF 1310-1400,MWF 1410-1500,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,MWF 1000-1050,MWF 1310-1400,MWF 1410-1500,WF 1510-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0210,MWF 0900-0950,MWF 1000-1050,MWF 1200-1250,MW 1310-1500,MW 1510-1625,MW 1710-1825,TR 0935-1050,TR 1100-1215,TR 1320-1425,TR 1445-1600,T 1630-1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0211,MWF 0900-0950,MWF 1100-1150,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,MWF 0900-0950,MWF 1100-1150,W 1510-1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0024,MWF 0900-0950,MWF 1100-1150,MWF 1200-1250,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,R 1610-1900,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0259,MTWR 0900-0950,MTWR 1000-1050,M 1230-1500,MTWR 0900-0950,MTWR 1000-1050,TR 1320-1435,MTWR 0900-0950,MTWR 1000-1050,MW 1310-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0008,MW 0800-0850,MW 0900-0950,M 1100-1150,TR 0935-1050,TR 1100-1215,TR 1225-1340,TR 1445-1600,MW 0800-0850,MW 0900-0950,WF 1100-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU 0009,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MW 0900-0950,MWF 1200-1250,MW 1310-1400,MWF 1510-1600,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 0810-0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB 0103,MWF 0545-0700,MW 1600-1650,T 1310-1500,T 1510-1700,T 1710-1900,T 1910-2100,R 1310-1500,R 1510-1700,R 1710-1900,R 1910-2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB 0104,M 1800-2050,W 1800-2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB 0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB 0137,MWR 0550-0700,MW 0900-0950,MWF 1100-1150,MW 1200-1250,MW 1310-1400,TR 0935-1050,TR 1100-1215,T 1220-1319,TR 1415-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB 0138,MW 0900-0950,MW 1000-1050,MW 1100-1150,TR 0930-1020,TR 1100-1150,TR 1320-1435,MW 0900-0950,MW 1000-1050,MW 1100-1150,W 1530-1720,F 0800-0950,F 1300-1450,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB 0202,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MW 1100-1150,MW 1830-1950,TR 1220-1310,T 1320-1550,T 1700-1850,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MW 1100-1150,W 1610-1800,MW 1830-1950,,,,,,,,,,,,,,,,,,,,,,,,,
CB 0206,M 1810-2100,T 0740-0930,T 1000-1150,T 1610-1900,R 0740-0930,R 1000-1150,R 1220-1410,R 1610-1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI 0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI 0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI 0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI 0003,MTWR 0845-1015,MTWR 1030-1215,MTWR 1300-1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA 0207,MWF 0800-0850,MWF 0900-0950,M 1000-1050,MW 1310-1500,M 1600-1850,TR 0935-1050,TR 1100-1215,TR 1320-1435,MWF 0800-0850,MWF 0900-0950,F 1100-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA 0211,MWF 0900-1050,MWF 1100-1150,M 1300-1600,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 0935-1050,TR 1100-1215,TR 1320-1435,R 1445-1535,MWF 0900-1050,MWF 1100-1150,F 1320-1600,,,,,,,,,,,,,,,,,,,,,,,,,,
EA 0215,MWF 1200-1250,M 1310-1600,TR 0935-1050,TR 1100-1215,TR 1320-1435,W 0900-1150,MWF 1200-1250,W 1310-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA 0225,MWF 0900-0950,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MWF 1410-1500,MW 1510-1600,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1630-1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
