,,,,,,,,,,,
AB 0103,TR 0800-0915,TR 1100-1215,TR 1320-1435,TR 1510-1700,,,,,,,
AB 0104,TR 0810-0925,TR 1100-1215,,,,,,,,,
AB 0106,TR 0935-1050,,,,,,,,,,
AG 1032,TR 0935-1050,R 1220-1310,TR 1320-1435,TR 1515-1630,,,,,,,
AG 2018,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,
AG 0223,TR 1320-1435,TR 1445-1600,,,,,,,,,
AG 0229,TR 0810-0925,TR 0935-1050,,,,,,,,,
AG 0237,TR 1320-1435,,,,,,,,,,
AG 3026,R 0810-0925,,,,,,,,,,
AG 3027,TR 1100-1300,R 1320-1435,,,,,,,,,
AG 3028,TR 0935-1050,TR 1445-1600,,,,,,,,,
AG 0328,R 0935-1050,TR 1100-1215,R 1445-1600,,,,,,,,
AG 4021,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1710-1825,,,,,,,
AG 4022,TR 1320-1435,TR 1445-1600,,,,,,,,,
AG 4040,TR 1320-1435,,,,,,,,,,
AG 4041,TR 1320-1435,,,,,,,,,,
AG 5027,R 1310-1700,,,,,,,,,,
AG 5028,TR 1410-1600,,,,,,,,,,
AG 5030,TR 0800-0950,TR 1000-1150,TR 1310-1500,TR 1510-1700,TR 1100-1215,R 1610-1700,,,,,
AN 0140,TR 0935-1050,,,,,,,,,,
AN 0150,TR 0935-1050,TR 1100-1215,,,,,,,,,
AN 0220,TR 0935-1050,TR 1100-1215,,,,,,,,,
AS 0139,MTWR 1000-1050,,,,,,,,,,
AS 0209,TR 0935-1050,TR 1100-1215,,,,,,,,,
AS 0226,MTWR 0830-0940,MTWR 1000-1150,MTWR 1230-1340,,,,,,,,
AS 0228,TR 0935-1050,R 1510-1700,,,,,,,,,
AS 0314,TR 0810-0925,MTWR 1310-1400,,,,,,,,,
AS 0401,TR 0810-0925,TR 0935-1050,,,,,,,,,
AV 0223,R 1100-1340,TR 1445-1600,,,,,,,,,
BC 0138,TR 0935-1050,R 1215-1435,TR 1445-1600,,,,,,,,
BC 0227,,,,,,,,,,,
BS 0222,R 1410-1600,,,,,,,,,,
BS 0223,R 1310-1540,R 1910-2140,,,,,,,,,
BS 0302,TR 0935-1125,TR 1320-1435,,,,,,,,,
BS 0304,R 1410-1700,,,,,,,,,,
BS 0309,TR 0935-1050,TR 1100-1215,TR 1320-1410,,,,,,,,
BU 0010,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,R 1610-1900,,,,,
BU 0108,MTWR 0900-0950,MTWR 1000-1050,TR 1100-1215,TR 1320-1435,TR 1445-1535,,,,,,
BU 0110,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1900-2015,,,,,,
BU 0111,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1535,TR 1610-1725,,,,,,
BU 0121,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,R 1610-1900,,,,,
BU 0127,TR 0935-1050,TR 1100-1240,TR 1320-1435,TR 1445-1600,TR 1630-1745,,,,,,
BU 0129,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,
BU 0208,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,
BU 0209,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,
BU 0021,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,
BU 0210,TR 0935-1050,TR 1100-1215,TR 1320-1425,TR 1445-1600,,,,,,,
BU 0211,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,
BU 0024,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,
BU 0259,MTWR 0900-0950,MTWR 1000-1050,TR 1320-1435,,,,,,,,
BU 0008,TR 0935-1050,TR 1100-1215,TR 1225-1340,TR 1445-1600,,,,,,,
BU 0009,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 0810-0925,,,,,,,
CB 0103,R 1310-1500,R 1510-1700,R 1710-1900,R 1910-2100,,,,,,,
CB 0127,,,,,,,,,,,
CB 0137,MWR 0550-0700,TR 0935-1050,TR 1100-1215,TR 1415-1600,,,,,,,
CB 0138,TR 0930-1020,TR 1100-1150,TR 1320-1435,,,,,,,,
CB 0202,TR 1220-1310,,,,,,,,,,
CB 0206,R 0740-0930,R 1000-1150,R 1220-1410,R 1610-1900,,,,,,,
CR 0103,TR 0935-1050,R 1320-1600,,,,,,,,,
CR 0113,R 0900-1200,R 1610-1800,R 1810-2100,,,,,,,,
CR 0115,R 0810-0900,TR 0935-1050,TR 1100-1215,MTWR 1510-1600,TR 1730-1845,,,,,,
CR 0118,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,
CR 0129,TR 0935-1050,TR 1100-1215,,,,,,,,,
CR 0133,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,
CR 0137,R 0835-0925,TR 0935-1050,TR 1100-1215,R 1310-1600,,,,,,,
CR 0141,TR 0935-1050,TR 1320-1435,R 1445-1645,,,,,,,,
CR 0142,TR 0935-1050,TR 1445-1600,,,,,,,,,
CR 0144,TR 0935-1050,TR 1100-1215,R 1310-1500,,,,,,,,
CR 0147,TR 0935-1050,TR 1100-1215,TR 1320-1435,R 1810-2000,,,,,,,
CR 0207,TR 0810-0925,TR 0935-1050,TR 1320-1435,R 1510-1800,,,,,,,
CR 0209,MTWR 0900-0950,MTWR 1000-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,
CR 0214,TR 0935-1050,TR 1100-1215,,,,,,,,,
CR 0215,TR 0935-1050,TR 1100-1215,R 1310-1600,TR 1610-1725,,,,,,,
CR 0219,TR 0935-1050,TR 1100-1215,,,,,,,,,
CR 0221,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,R 1610-1900,,,,,,
CR 0222,TR 0935-1050,TR 1100-1215,,,,,,,,,
CR 0225,TR 1445-1600,,,,,,,,,,
CR 0302,TR 0810-0925,TR 0935-1050,TR 1100-1215,,,,,,,,
CR 0306,TR 0810-0925,TR 0935-1050,TR 1100-1215,,,,,,,,
CR 0310,TR 0935-1050,,,,,,,,,,
CR 0314,TR 0810-0925,TR 0935-1050,,,,,,,,,
EA 0207,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,
EA 0211,TR 0935-1050,TR 1100-1215,TR 1320-1435,R 1445-1535,,,,,,,
EA 0215,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,
EA 0225,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1630-1745,,,,,,,
EA 0229,TR 0810-0925,TR 0935-1050,TR 1100-1150,MTWR 1300-1350,TR 1350-1505,,,,,,
EA 0304,TR 1320-1435,TR 1445-1625,,,,,,,,,
EA 0308,TR 1100-1215,TR 1320-1450,,,,,,,,,
EA 0314,TR 0935-1050,MTWR 1200-1250,TR 1320-1435,,,,,,,,
EA 0318,TR 1445-1600,TR 1610-1800,,,,,,,,,
ED 0006,TR 0800-0915,,,,,,,,,,
ED 0117,,,,,,,,,,,
ED 0030,TR 0935-1050,,,,,,,,,,
ED 0332,,,,,,,,,,,
ED 0004,TR 1445-1600,,,,,,,,,,
ED 0047,R 0935-1215,,,,,,,,,,
EERB 0233,TR 1100-1215,,,,,,,,,,
EERB 0251,TR 0935-1050,TR 1320-1435,,,,,,,,,
EN 1034,,,,,,,,,,,
EN 1044,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,
EN 1045,TR 0800-0915,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,
EN 1062,,,,,,,,,,,
EN 2044,R 0935-1050,R 1100-1215,,,,,,,,,
EN 2070,TR 0810-0925,TR 0935-1050,TR 1100-1215,,,,,,,,
EN 2100,TR 0810-0925,TR 0935-1050,R 1100-1150,TR 1320-1435,,,,,,,
EN 2101,R 0935-1015,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,
EN 2104,TR 0810-0925,,,,,,,,,,
EN 2106,TR 1320-1435,TR 1445-1600,,,,,,,,,
EN 2108,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1550,,,,,,,
EN 2109,TR 0935-1125,R 1310-1500,R 1510-1700,,,,,,,,
EN 2110,MTWR 0800-0850,TR 0935-1050,TR 1100-1215,,,,,,,,
EN 3044,TR 0935-1050,,,,,,,,,,
EN 3046,R 1540-1700,,,,,,,,,,
EN 3056,TR 1100-1215,TR 1320-1435,TR 1445-1550,,,,,,,,
EN 3070,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,
EN 3102,TR 1100-1215,TR 1320-1435,,,,,,,,,
EN 3104,TR 1100-1215,TR 1510-1600,,,,,,,,,
EN 3105,TR 0935-1050,MTWR 1100-1150,MTWR 1200-1250,TR 1310-1400,,,,,,,
EN 3106,MTWR 1000-1050,TR 1100-1215,TR 1320-1435,R 1610-1900,,,,,,,
EN 3110,TR 1100-1215,TR 1320-1435,,,,,,,,,
EN 3111,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,
EN 3112,TR 1100-1215,TR 1320-1435,,,,,,,,,
EN 3114,TR 0935-1050,TR 1100-1215,TR 1320-1435,,,,,,,,
EN 4023,,,,,,,,,,,
EN 4045,TR 0935-1050,TR 1100-1215,TR 1320-1435,R 1445-1725,,,,,,,
EN 4059,TR 1100-1215,R 1610-1800,,,,,,,,,
EN 5022,TR 0935-1050,TR 1100-1215,,,,,,,,,
EN 5058,R 1610-1800,R 1540-1740,,,,,,,,,
ESB 1004,R 0900-1050,R 1110-1300,R 1310-1500,R 1510-1700,,,,,,,
ESB 1006,TR 1445-1600,,,,,,,,,,
ESB 1038,TR 1220-1310,TR 1810-2000,,,,,,,,,
