AB 0103,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,M 1510-1800,,,,
AB 0104,MWF 0800-0850,MWF 0900-0950,MW 1000-1050,MWF 1100-1150,M 1410-1600,,,,
AB 0106,M 0900-0950,,,,,,,,
AG 1030,MWF 0900-0950,MWF 1000-1050,MW 1100-1150,M 1610-1840,,,,,
AG 1032,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,,,,,
AG 2018,MWF 0900-0950,MWF 1100-1150,,,,,,,
AG 2024,MW 0910-1025,,,,,,,,
AG 0223,MWF 1000-1050,MW 1100-1215,M 1310-1600,,,,,,
AG 0229,MWF 0900-0950,MWF 1000-1050,MWF 1410-1500,,,,,,
AG 3026,MWF 0900-0950,,,,,,,,
AG 3027,MW 0900-1050,MW 1100-1250,MW 1410-1500,,,,,,
AG 0328,MW 1000-1200,,,,,,,,
AG 4021,MWF 1000-1050,MWF 1100-1150,,,,,,,
AG 4041,MWR 0545-0700,MTWF 0800-0850,MTWR 1000-1050,MWF 1100-1150,MTWR 1200-1250,MWF 1510-1600,,,
AG 0041,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,,,,,,
AN 0140,MWF 1410-1500,,,,,,,,
AN 0150,MWF 0900-0950,MWF 1100-1150,MWF 1310-1400,,,,,,
AN 0220,M 1510-1740,,,,,,,,
AN 0335,M 1510-1740,,,,,,,,
AS 0209,MWF 0800-0850,MWF 1000-1050,MW 1200-1250,MW 1410-1500,,,,,
AS 0210,MWF 1100-1150,MWF 1310-1400,,,,,,,
AS 0228,MWF 1100-1150,MWF 1200-1250,,,,,,,
AS 0401,MWF 1100-1150,MWF 1310-1400,,,,,,,
AV 0212,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,,,,,,
AV 0223,MW 1410-1650,,,,,,,,
BC 0138,M 0800-0850,M 1210-1300,M 1305-1500,,,,,,
BS 0302,MW 1000-1150,,,,,,,,
BU 0010,M 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,M 1510-1800,,,
BU 0108,MWF 1100-1150,MWF 1200-1250,M 1410-1500,,,,,,
BU 0110,MW 0900-0950,MWF 1000-1050,MW 1100-1215,MW 1510-1625,,,,,
BU 0111,M 0900-0950,MWF 1000-1050,MW 1100-1215,M 1310-1400,M 1410-1500,MW 1510-1625,MW 1635-1750,,
BU 0121,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,MW 1510-1625,,,
BU 0127,MWF 0900-0950,MW 1100-1215,MW 1510-1625,,,,,,
BU 0129,MW 0900-1015,MWF 1100-1150,MWF 1310-1400,MW 1510-1625,,,,,
BU 0208,MW 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,MWF 1410-1500,MW 1510-1625,,,
BU 0209,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,M 1510-1800,,,
BU 0021,MWF 0800-0850,MW 1100-1215,MW 1510-1625,,,,,,
BU 0210,MWF 0900-0950,MWF 1000-1050,MTWR 1100-1150,MWF 1310-1400,MW 1510-1625,MW 1710-1825,,,
BU 0211,MWF 1310-1400,MW 1445-1600,,,,,,,
BU 0221,MW 1000-1050,M 1510-1800,,,,,,,
BU 0023,MWF 0900-0950,MWF 1000-1050,,,,,,,
BU 0024,MWF 0900-0950,MW 1100-1150,,,,,,,
BU 0259,MWF 1000-1050,MWF 1100-1150,,,,,,,
BU 0008,MW 1000-1050,M 1510-1600,M 1610-1700,M 1710-1900,,,,,
BU 0009,MWF 1000-1050,MWF 1100-1150,MW 1510-1600,,,,,,
BU 0057,MWF 1100-1150,,,,,,,,
CB 0103,MWF 0545-0700,MTWRF 0800-0930,MWF 1100-1150,MWF 1310-1400,MW 1600-1650,,,,
CB 0104,MWF 1210-1300,,,,,,,,
CB 0137,MW 0800-0850,MW 0900-0950,MW 1000-1050,MWF 1210-1300,,,,,
CB 0138,MW 0900-0950,MW 1000-1050,MW 1100-1150,,,,,,
CB 0202,MWF 1000-1050,MW 1100-1150,,,,,,,
